Folio	CIF	Nombre	Segundo Nombre	Primer Apellido	Segundo Apellido	Telefono	Domicilio	Estado	Plaza	Regional
703601	313911	Rocío	Horacio	Soria	Rosado	9479053150	"Corredor Norte Ocampo 897 Edif. 437 , Depto. 851 San Dulce María los altos, HGO 55939-5502"	Campeche	34	SUR
101915	619007	Gloria	Isaac	Almaraz	Villaseñor	5669054357	"Diagonal Valenzuela 632 Edif. 972 , Depto. 339 Nueva Malasia, Q. ROO 82402"	Aguascalientes	45	OCCIDENTE
542447	755959	Ruby	Tomás	Zaragoza	Espinosa	7889893633	"Continuación Sur Jaime 989 Interior 231 Nueva Timor-Leste, GTO 71366"	Tamaulipas	42	OCCIDENTE
925369	04291	Ana María	Israel	Menéndez	Orosco	9312274687	"Calle Norte Salazar 312 825 San Salvador de la Montaña, MEX 65605-4597"	Durango	29	NORTE
783104	236106	Mitzy	Jacobo	Narváez	Ponce	1076593924	"Avenida Sur Mireles 557 886 San Carlota de la Montaña, TAMPS 05529"	Guerrero	4	SUR
971576	319782	José Manuél	Javier	Chavarría	Medina	5853623079	"Calle Norte Jáquez 975 Interior 790 San Sandra los altos, NAY 36517"	Jalisco	38	NORTE
842396	446627	Alfredo	Rosalia	Esquibel	Sepúlveda	5262852767	"Periférico Norte Olivares 673 Interior 029 San Cornelio los altos, AGS 26947"	Jalisco	25	OCCIDENTE
171951	364819	Uriel	Noelia	Archuleta	Balderas	2628145225	"Diagonal Rumania 848 705 Vieja Venezuela, NL 84564"	Jalisco	13	NORTE
886979	651255	Yolanda	Ana María	Ramírez	Camacho	1466769714	"Corredor Sur Camarillo 590 353 Nueva Pakistán, CHIH 82170"	Nayarit	40	CENTRO
182382	848365	Isabela	Jacobo	Rosales	Yáñez	7128426341	"Ampliación Sur Rentería 017 Interior 533 San Indira los bajos, BCS 61757-0979"	Veracruz de Ignacio de la Llave	44	CENTRO
741701	591023	Itzel	Sara	Ballesteros	Granados	6955727026	"Ampliación Oaxaca 769 879 Vieja Trinidad y Tabago, GTO 45455-7336"	Tamaulipas	10	SUR
710565	14268	Paulina	Anel	de la Torre	Galindo	8601996517	"Andador Brito 501 039 San Úrsula de la Montaña, TAMPS 26218-1166"	Aguascalientes	15	SUR
322725	151586	Blanca	Nancy	Hinojosa	Coronado	6841727695	"Boulevard Sur Amador 742 Edif. 673 , Depto. 311 San Helena los altos, GTO 80003"	San Luis Potosí	41	SUR
353834	336563	Nadia	Ángela	Jaimes	Suárez	7841512696	"Diagonal Trinidad y Tabago 932 Interior 248 San José Luis los bajos, PUE 14499"	Baja California	25	SUR
